"Weather_Condition","Road_Type","Road_Condition","Time_of_Day","Traffic_Density","Speed_Limit","Visibility","Acceleration_Events","Braking_Events","Steering_Input","Driver_Fatigue_Level","Distraction_Events","Speed","Lane_Departure_Events","Adaptive_Cruise_Control_Activation","Driver_Age","Driving_Experience","Vehicle_Type","Vehicle_Age","Accident_Occurrence","Near_Miss_Events","Intervention_Needed","Intervention_Level"
"Clear","Urban Road","Dry","Evening",1,120,684,0,9,8,4,3,82.72591626,4,0,24,11,"Truck",3,1,5,"No","No"
"Clear","Rural Road","Wet","Morning",2,60,828,10,2,7,4,1,88.97024461,1,0,32,9,"Truck",8,0,0,"No","No"
"Clear","Urban Road","Dry","Morning",2,100,882,0,6,-6,2,6,57.99307407,3,1,21,10,"Sedan",1,0,0,"No","No"
"Heavy Rain","Highway","Wet","Morning",1,60,753,0,3,-3,3,3,59.18753079,3,0,18,20,"Sedan",9,0,0,"No","No"
"Clear","Rural Road","Wet","Morning",1,100,530,7,5,-6,8,2,86.12404117,2,0,48,13,"Sedan",15,0,0,"Yes","Mild"
"Heavy Rain","Rural Road","Dry","Afternoon",2,110,230,0,2,1,1,6,41.02991969,1,0,46,30,"Sedan",10,0,0,"No","No"
"Clear","Rural Road","Dry","Afternoon",2,120,295,0,1,0,5,6,69.48005622,3,1,33,4,"Truck",15,0,0,"No","No"
"Clear","Rural Road","Dry","Night",1,110,561,10,2,4,1,3,66.08358506,2,1,31,29,"SUV",15,0,0,"No","No"
"Clear","Highway","Dry","Afternoon",2,110,452,10,5,11,7,5,59.6180006,2,0,23,22,"Truck",5,0,0,"Yes","Mild"
"Clear","Highway","Wet","Afternoon",1,60,981,6,10,6,10,2,89.24412589,0,1,40,5,"Sedan",6,0,0,"Yes","Mild"
"Rain","Urban Road","Dry","Morning",2,60,826,0,6,-8,0,5,91.16375101,4,0,50,23,"Truck",3,0,0,"No","No"
"Rain","Urban Road","Wet","Evening",3,90,464,0,9,2,5,2,49.79368521,2,1,40,19,"SUV",13,1,0,"No","No"
"Rain","Highway","Dry","Afternoon",2,80,377,3,2,2,2,4,59.34603034,2,1,43,2,"Truck",10,0,0,"No","No"
"Rain","Urban Road","Dry","Afternoon",1,100,214,0,6,12,8,3,69.50535708,2,1,39,31,"Truck",11,0,0,"Yes","Mild"
"Clear","Highway","Wet","Evening",2,30,338,3,3,0,1,1,44.22069729,2,1,20,4,"Sedan",13,0,0,"No","No"
"Heavy Rain","Urban Road","Wet","Evening",3,80,320,5,1,9,2,6,76.29733402,1,0,30,3,"SUV",6,0,0,"No","No"
"Heavy Rain","Highway","Wet","Evening",3,100,819,2,6,4,8,3,99.81926506,2,0,19,16,"SUV",15,1,3,"Yes","Mild"
"Heavy Rain","Urban Road","Wet","Night",1,100,642,0,10,7,7,1,58.8983078,2,0,58,2,"SUV",15,0,0,"Yes","Strong"
"Rain","Rural Road","Wet","Morning",3,30,382,4,7,8,3,5,66.26178653,0,0,42,24,"Sedan",12,1,3,"No","No"
"Heavy Rain","Rural Road","Dry","Afternoon",1,40,611,0,9,5,6,1,50.94935537,2,1,40,29,"Truck",12,1,2,"No","No"
"Rain","Rural Road","Dry","Night",3,100,725,1,6,8,10,5,82.42019882,1,0,49,1,"Truck",14,0,0,"Yes","Strong"
"Clear","Rural Road","Dry","Morning",2,60,779,10,7,1,4,1,79.93410749,1,1,30,6,"Sedan",12,1,2,"No","No"
"Clear","Urban Road","Wet","Night",2,50,883,1,8,4,9,4,83.09347387,0,0,70,25,"Truck",12,0,0,"Yes","Mild"
"Rain","Rural Road","Wet","Evening",2,70,907,9,3,-7,9,0,91.8450757,0,0,39,26,"SUV",12,0,0,"Yes","Mild"
"Rain","Rural Road","Wet","Afternoon",3,90,368,1,7,9,4,4,66.40627525,2,1,18,1,"Truck",13,0,0,"No","No"
"Rain","Urban Road","Dry","Afternoon",2,70,739,5,3,8,10,0,79.07368551,2,0,18,5,"Sedan",5,0,0,"Yes","Strong"
"Clear","Highway","Wet","Morning",1,110,280,6,9,-1,4,2,62.37302215,1,1,18,5,"SUV",7,0,0,"No","No"
"Heavy Rain","Highway","Wet","Afternoon",1,110,918,7,6,7,7,6,52.53172444,0,0,20,6,"Truck",2,0,0,"No","No"
"Clear","Rural Road","Dry","Night",2,80,944,10,5,7,1,4,22.79260021,1,0,47,15,"Sedan",6,1,2,"No","No"
"Heavy Rain","Highway","Wet","Evening",2,90,820,7,2,7,10,0,68.81557675,3,0,37,10,"Sedan",0,0,0,"Yes","Strong"
"Clear","Rural Road","Wet","Evening",3,70,776,1,2,5,9,6,66.127616,1,1,50,1,"Sedan",12,0,0,"Yes","Mild"
"Clear","Highway","Dry","Evening",2,40,822,8,5,-9,0,0,43.94325544,3,0,20,22,"Sedan",1,0,0,"No","No"
"Heavy Rain","Urban Road","Wet","Morning",2,30,133,5,6,5,5,0,54.17660268,3,0,55,8,"Sedan",13,0,0,"No","No"
"Rain","Urban Road","Dry","Morning",1,40,714,9,10,-4,0,3,67.56528836,0,1,31,9,"SUV",0,1,8,"No","No"
"Clear","Rural Road","Dry","Evening",2,30,187,2,0,-8,10,2,112.9007142,1,1,37,7,"SUV",1,0,0,"Yes","Mild"
"Heavy Rain","Urban Road","Wet","Night",2,80,346,8,7,9,10,1,27.58011198,0,1,62,16,"SUV",0,1,2,"Yes","Mild"
"Heavy Rain","Urban Road","Dry","Night",1,60,787,2,3,-8,6,3,46.1953707,0,1,62,23,"Sedan",8,1,2,"No","No"
"Rain","Urban Road","Wet","Night",1,90,443,7,4,-8,10,6,44.04529218,1,1,23,5,"Truck",13,0,0,"Yes","Mild"
"Rain","Highway","Dry","Night",1,60,288,3,3,-3,9,5,104.9022352,1,1,40,14,"Truck",14,0,0,"Yes","Mild"
"Heavy Rain","Highway","Wet","Morning",2,70,622,10,7,4,6,1,107.8572592,1,1,45,6,"Truck",10,1,4,"No","No"
"Heavy Rain","Rural Road","Wet","Night",1,120,886,5,8,2,2,0,76.88498656,0,0,18,18,"Sedan",2,0,0,"No","No"
"Clear","Urban Road","Dry","Afternoon",1,90,76,7,1,6,7,0,71.87716323,3,0,32,20,"SUV",10,0,0,"Yes","Strong"
"Rain","Rural Road","Wet","Evening",1,100,652,5,0,-6,1,5,62.76223602,1,1,37,14,"SUV",2,1,4,"No","No"
"Clear","Highway","Wet","Evening",1,80,629,3,2,0,2,3,81.59829052,2,0,63,17,"SUV",10,0,0,"No","No"
"Clear","Urban Road","Wet","Night",2,40,286,5,5,10,9,5,31.73245961,2,1,63,5,"Truck",2,0,0,"Yes","Strong"
"Heavy Rain","Urban Road","Wet","Morning",3,70,468,0,4,12,5,0,67.57526654,3,1,42,26,"Truck",5,0,0,"No","No"
"Clear","Highway","Wet","Evening",1,90,107,9,4,7,2,6,103.0568969,4,0,66,17,"Truck",3,0,0,"No","No"
"Rain","Urban Road","Dry","Evening",3,80,89,4,1,5,6,3,56.69456708,1,1,18,17,"Sedan",15,0,0,"Yes","Mild"
"Rain","Urban Road","Wet","Evening",1,120,258,9,10,-1,1,2,99.39024053,0,0,39,16,"SUV",1,0,0,"No","No"
"Heavy Rain","Urban Road","Dry","Night",2,70,156,8,10,-2,2,4,45.4303739,3,0,32,29,"SUV",0,0,0,"No","No"
"Rain","Highway","Dry","Morning",2,120,855,7,6,9,1,5,41.37600138,3,1,60,9,"Sedan",2,0,0,"No","No"
"Heavy Rain","Highway","Dry","Night",3,120,506,10,2,2,7,3,73.35485127,3,0,28,1,"Sedan",3,1,3,"No","No"
"Heavy Rain","Urban Road","Wet","Night",2,80,71,9,5,-7,8,1,53.63331658,0,1,41,21,"SUV",12,0,0,"Yes","Strong"
"Rain","Urban Road","Dry","Afternoon",1,60,981,0,6,11,7,0,86.11292629,1,1,47,11,"Truck",14,0,0,"Yes","Mild"
"Heavy Rain","Highway","Dry","Morning",2,120,413,0,1,-5,1,3,52.33619579,3,0,54,12,"Sedan",11,0,0,"No","No"
"Heavy Rain","Highway","Dry","Evening",2,30,932,3,7,6,6,3,80.59090413,2,1,58,1,"Sedan",8,0,0,"No","No"
"Rain","Highway","Wet","Evening",2,50,676,4,1,-2,8,6,89.06056335,2,1,38,14,"Truck",3,1,5,"Yes","Mild"
"Rain","Highway","Wet","Afternoon",2,30,781,10,6,-10,1,4,33.4036005,3,1,37,14,"Sedan",12,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Morning",2,40,808,3,8,8,10,0,70.23891671,1,0,59,5,"Sedan",5,0,0,"Yes","Mild"
"Heavy Rain","Urban Road","Wet","Morning",3,80,220,0,0,4,7,4,40.74861868,1,0,50,15,"SUV",14,0,0,"Yes","Mild"
"Rain","Urban Road","Wet","Morning",1,120,924,6,5,-9,7,5,84.87975974,0,0,26,27,"Sedan",1,0,0,"No","No"
"Clear","Highway","Wet","Morning",3,50,149,7,10,4,6,5,76.74858095,3,1,23,11,"SUV",4,1,3,"No","No"
"Clear","Highway","Dry","Morning",3,100,809,6,3,-6,3,1,82.41767427,0,0,44,3,"Sedan",10,1,2,"No","No"
"Heavy Rain","Urban Road","Dry","Afternoon",1,70,803,10,0,4,9,5,112.2698166,1,1,18,9,"Truck",12,0,0,"Yes","Mild"
"Heavy Rain","Urban Road","Wet","Night",1,90,782,7,1,6,5,6,61.77636653,2,1,34,11,"SUV",13,0,0,"No","No"
"Clear","Rural Road","Dry","Evening",1,30,199,4,6,7,4,3,57.61663398,1,1,18,28,"Truck",13,0,0,"No","No"
"Rain","Urban Road","Wet","Morning",1,40,414,0,7,3,4,0,76.24843454,0,0,28,34,"SUV",10,1,4,"No","No"
"Rain","Urban Road","Wet","Evening",1,80,554,4,7,10,0,2,20.45267857,0,0,38,31,"Sedan",5,0,0,"No","No"
"Heavy Rain","Urban Road","Dry","Afternoon",1,120,694,1,2,8,2,2,85.13217011,3,0,39,1,"SUV",1,1,8,"No","No"
"Rain","Urban Road","Wet","Night",1,40,643,3,1,-5,10,0,71.32008492,1,0,55,26,"Truck",9,0,0,"Yes","Mild"
"Heavy Rain","Rural Road","Wet","Morning",1,60,401,1,7,5,2,0,44.75573975,3,1,31,1,"SUV",7,0,0,"No","No"
"Clear","Urban Road","Dry","Evening",1,40,273,6,3,6,4,0,56.35050881,2,0,19,25,"SUV",14,0,0,"No","No"
"Rain","Highway","Dry","Evening",1,120,358,10,4,-3,3,4,47.17076133,3,0,30,36,"SUV",0,0,0,"No","No"
"Rain","Rural Road","Dry","Night",1,90,614,2,5,-9,0,1,70.17013992,1,0,57,13,"Truck",14,0,0,"No","No"
"Clear","Urban Road","Dry","Evening",1,100,937,3,9,-9,5,5,77.54579705,0,0,63,10,"SUV",15,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Morning",1,60,281,7,9,4,4,0,33.00371613,3,0,55,24,"SUV",10,0,0,"No","No"
"Rain","Rural Road","Dry","Evening",3,120,496,9,3,5,0,5,80.11794806,0,0,33,2,"Truck",15,1,3,"No","No"
"Heavy Rain","Rural Road","Dry","Afternoon",2,70,771,7,3,2,6,1,70.32482242,2,0,45,24,"Sedan",1,0,0,"No","No"
"Heavy Rain","Highway","Wet","Evening",1,80,304,10,3,-6,4,5,70.73898419,1,1,33,19,"Sedan",12,0,0,"No","No"
"Clear","Highway","Wet","Morning",1,80,508,8,9,2,5,2,73.64664439,3,0,44,23,"Truck",11,0,0,"No","No"
"Rain","Highway","Dry","Afternoon",2,30,929,1,1,-9,0,2,96.34972707,2,1,62,12,"Truck",12,0,0,"No","No"
"Rain","Urban Road","Dry","Evening",3,120,83,8,5,5,0,0,46.20014818,2,1,41,2,"SUV",11,0,0,"No","No"
"Clear","Highway","Wet","Evening",3,90,224,6,7,-10,9,0,50.74550906,3,1,18,22,"SUV",6,0,0,"Yes","Strong"
"Clear","Urban Road","Dry","Morning",2,80,333,7,1,5,5,6,79.64275826,4,0,40,19,"Truck",7,0,0,"No","No"
"Rain","Urban Road","Wet","Evening",2,110,717,8,0,2,5,2,108.2678429,0,0,37,26,"SUV",2,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Morning",2,40,236,1,4,0,0,0,71.23231163,3,0,47,24,"SUV",15,0,0,"No","No"
"Heavy Rain","Highway","Dry","Morning",3,70,683,2,0,2,1,4,91.93100913,1,0,53,9,"Sedan",15,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Afternoon",3,80,723,2,7,5,6,4,60.39703792,0,1,65,7,"SUV",11,0,0,"No","No"
"Rain","Urban Road","Dry","Afternoon",2,70,470,5,10,10,7,1,115.5599471,3,0,55,25,"Truck",11,1,3,"Yes","Mild"
"Rain","Urban Road","Wet","Night",2,70,73,6,3,-7,6,5,57.63294063,3,1,34,27,"Truck",3,0,0,"Yes","Strong"
"Heavy Rain","Highway","Dry","Night",3,100,836,4,2,9,8,3,81.36185535,1,1,61,7,"SUV",12,0,0,"Yes","Mild"
"Clear","Highway","Dry","Afternoon",1,60,857,2,7,4,3,2,91.48430966,3,1,42,16,"Sedan",11,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Evening",1,110,792,1,5,4,3,2,62.80987184,1,0,26,1,"Sedan",2,0,0,"No","No"
"Clear","Urban Road","Wet","Afternoon",1,80,555,0,0,3,7,6,81.59676883,3,0,69,10,"Sedan",8,1,2,"Yes","Strong"
"Heavy Rain","Urban Road","Dry","Morning",2,100,848,1,0,3,5,0,66.59436013,1,0,35,28,"SUV",8,1,3,"No","No"
"Heavy Rain","Highway","Wet","Morning",3,120,201,2,8,-10,10,4,86.781755,1,1,56,1,"SUV",15,0,0,"Yes","Mild"
"Heavy Rain","Highway","Dry","Afternoon",2,40,76,9,4,4,1,2,69.59207716,1,1,23,19,"Truck",9,0,0,"No","No"
"Rain","Highway","Dry","Evening",3,80,756,4,4,-4,9,0,56.62989784,0,1,25,23,"Sedan",6,0,0,"Yes","Mild"
"Clear","Highway","Dry","Afternoon",3,60,82,2,10,10,2,3,53.70199794,0,0,47,14,"SUV",2,0,0,"No","No"
"Clear","Highway","Wet","Evening",3,50,905,5,2,4,8,2,72.98085108,0,1,63,11,"SUV",4,1,2,"Yes","Strong"
"Heavy Rain","Rural Road","Dry","Night",2,70,105,6,4,1,7,0,71.4593735,2,0,32,14,"Truck",15,0,0,"No","No"
"Clear","Highway","Dry","Morning",2,40,308,5,3,-3,7,3,80.75247457,0,1,40,10,"Truck",6,1,2,"No","No"
"Rain","Urban Road","Dry","Evening",1,80,115,1,5,-5,2,4,72.41718639,3,0,55,14,"Sedan",14,0,0,"No","No"
"Rain","Urban Road","Wet","Afternoon",1,100,954,8,5,6,3,1,83.60016733,3,0,18,17,"SUV",7,1,5,"No","No"
"Heavy Rain","Urban Road","Wet","Afternoon",1,100,970,8,4,5,5,5,118.1821671,3,0,52,4,"Sedan",12,0,0,"No","No"
"Rain","Highway","Wet","Evening",2,90,430,10,9,7,5,0,68.82933363,0,1,42,22,"SUV",10,0,0,"No","No"
"Clear","Highway","Wet","Afternoon",1,50,834,0,9,-5,6,2,85.1855118,0,1,31,11,"SUV",8,1,3,"No","No"
"Clear","Rural Road","Wet","Night",2,40,139,4,4,-8,8,2,86.90373855,1,1,52,34,"Truck",12,0,0,"Yes","Mild"
"Rain","Urban Road","Dry","Evening",2,60,95,9,4,-3,5,1,68.83296359,3,1,28,28,"Truck",8,1,3,"No","No"
"Heavy Rain","Rural Road","Dry","Evening",2,60,869,8,3,-4,1,3,74.90687296,2,1,36,26,"SUV",15,1,0,"No","No"
"Clear","Rural Road","Dry","Evening",3,90,824,10,8,-2,1,3,80.3949671,0,1,61,4,"Sedan",8,0,0,"No","No"
"Clear","Highway","Wet","Morning",1,90,979,5,6,-4,10,3,70.38166081,3,0,38,1,"Truck",15,1,1,"Yes","Mild"
"Clear","Rural Road","Wet","Afternoon",1,90,380,10,10,1,4,3,75.34521937,1,0,23,15,"SUV",4,0,0,"No","No"
"Clear","Urban Road","Dry","Morning",3,30,337,10,6,-1,0,4,56.43671403,1,1,55,7,"Truck",2,0,0,"No","No"
"Clear","Rural Road","Wet","Evening",3,50,673,6,1,5,10,1,76.67918493,3,0,41,13,"Truck",6,0,0,"Yes","Strong"
"Clear","Urban Road","Wet","Morning",3,60,771,4,7,-6,2,4,66.88395817,1,0,52,19,"SUV",5,1,2,"No","No"
"Heavy Rain","Highway","Dry","Evening",3,100,485,8,8,-9,1,2,29.97314377,2,1,18,25,"Sedan",1,0,0,"No","No"
"Clear","Highway","Wet","Night",3,120,297,7,2,2,3,1,102.9476299,3,1,45,2,"Truck",15,0,0,"No","No"
"Rain","Highway","Wet","Evening",2,80,958,0,8,-4,0,0,50.5495456,1,1,67,24,"Truck",13,0,0,"No","No"
"Heavy Rain","Urban Road","Wet","Morning",3,50,142,1,2,5,3,5,56.00781495,3,1,64,20,"Sedan",6,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Evening",3,90,353,9,9,-9,0,2,78.65066247,0,1,19,38,"Sedan",5,0,0,"No","No"
"Heavy Rain","Highway","Dry","Night",1,100,884,0,4,3,10,0,79.50735176,2,0,40,18,"SUV",1,0,0,"Yes","Mild"
"Rain","Rural Road","Wet","Night",1,60,846,7,6,8,3,1,36.74970828,2,1,60,24,"SUV",4,0,0,"No","No"
"Rain","Highway","Wet","Afternoon",3,60,942,8,7,-3,4,2,69.31186556,3,0,31,8,"SUV",10,1,4,"No","No"
"Clear","Rural Road","Wet","Evening",3,110,714,6,4,-8,6,4,66.28130989,3,0,30,6,"SUV",15,0,0,"Yes","Strong"
"Heavy Rain","Urban Road","Wet","Morning",3,60,336,0,10,-4,0,1,61.21449589,2,1,28,10,"Sedan",9,0,0,"No","No"
"Rain","Rural Road","Dry","Evening",1,90,554,1,9,8,10,1,80.52722773,3,0,26,28,"Truck",2,1,1,"Yes","Strong"
"Clear","Urban Road","Wet","Afternoon",3,120,796,10,9,1,8,0,61.96700442,4,0,40,6,"Truck",1,0,0,"No","No"
"Clear","Urban Road","Wet","Night",3,90,716,1,7,0,4,4,77.23080728,0,1,44,15,"Sedan",13,0,0,"No","No"
"Heavy Rain","Urban Road","Wet","Afternoon",1,110,915,1,8,0,5,4,80.10633537,0,1,59,14,"Sedan",15,1,3,"No","No"
"Rain","Rural Road","Wet","Afternoon",1,90,594,4,7,4,5,5,66.58440942,0,1,50,6,"Sedan",4,0,0,"No","No"
"Rain","Highway","Dry","Morning",2,40,625,6,1,-1,2,5,82.36120416,0,0,42,14,"SUV",2,1,6,"No","No"
"Clear","Urban Road","Dry","Morning",3,30,952,1,4,10,9,0,57.43071898,2,1,49,6,"SUV",7,0,0,"Yes","Mild"
"Clear","Rural Road","Dry","Evening",1,90,419,0,3,-7,8,3,69.02385912,2,0,18,1,"Sedan",9,1,2,"Yes","Strong"
"Heavy Rain","Urban Road","Wet","Afternoon",3,90,651,4,8,7,4,4,99.71729613,0,0,58,4,"SUV",15,0,0,"No","No"
"Heavy Rain","Highway","Dry","Evening",2,60,230,10,1,-4,1,2,48.06668572,0,1,41,25,"Truck",7,0,0,"No","No"
"Clear","Urban Road","Dry","Evening",2,90,572,2,0,-2,4,4,72.85224543,0,1,41,17,"Sedan",4,0,0,"No","No"
"Rain","Urban Road","Dry","Night",1,110,724,0,10,4,1,1,59.17858697,3,1,37,23,"Truck",9,0,0,"No","No"
"Clear","Urban Road","Dry","Night",3,90,142,10,3,-7,7,1,86.52124945,3,1,37,11,"Sedan",11,0,0,"Yes","Strong"
"Rain","Highway","Wet","Morning",3,40,919,0,2,6,8,4,41.53783928,2,1,39,1,"SUV",13,1,1,"Yes","Mild"
"Clear","Highway","Dry","Night",3,60,445,5,3,6,2,1,70.95157795,2,0,49,28,"Truck",13,0,0,"No","No"
"Heavy Rain","Urban Road","Wet","Night",3,50,983,1,12,-1,9,1,77.0074283,4,1,70,9,"Truck",4,0,0,"Yes","Strong"
"Heavy Rain","Highway","Dry","Evening",2,90,430,2,11,4,4,0,53.05966316,3,1,41,1,"Truck",9,0,0,"No","No"
"Rain","Rural Road","Wet","Morning",3,40,618,0,2,1,5,4,66.6363277,1,0,43,9,"SUV",3,0,0,"No","No"
"Rain","Urban Road","Wet","Morning",3,80,849,3,5,-1,8,3,89.62009741,2,0,49,23,"Sedan",1,0,0,"Yes","Mild"
"Heavy Rain","Rural Road","Dry","Morning",1,70,201,10,10,-3,4,1,49.22920373,2,0,22,10,"SUV",2,0,0,"No","No"
"Clear","Rural Road","Dry","Morning",3,90,180,7,9,-9,4,3,69.02005101,2,1,38,14,"Sedan",12,1,4,"No","No"
"Rain","Highway","Wet","Afternoon",3,70,109,3,5,0,10,3,61.00133341,0,0,57,1,"Sedan",14,1,5,"Yes","Strong"
"Rain","Urban Road","Wet","Night",2,120,573,8,5,9,1,6,60.39337263,0,1,62,17,"SUV",0,0,0,"No","No"
"Rain","Rural Road","Dry","Evening",1,60,163,7,8,0,0,0,89.75995754,3,1,48,29,"SUV",6,0,0,"No","No"
"Clear","Urban Road","Dry","Morning",2,40,312,4,10,4,5,3,91.75187444,3,1,34,16,"SUV",14,0,0,"No","No"
"Rain","Rural Road","Dry","Night",2,40,954,4,7,-7,2,0,43.26868703,2,0,44,12,"Truck",11,0,0,"No","No"
"Clear","Rural Road","Dry","Evening",2,50,194,4,8,5,5,2,70.19614655,0,0,33,25,"Sedan",4,0,0,"No","No"
"Heavy Rain","Highway","Wet","Morning",3,40,991,8,0,-1,6,2,64.22430876,3,1,29,1,"SUV",6,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Evening",2,100,474,4,2,-7,0,2,45.1699755,0,1,26,35,"Sedan",12,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Night",2,60,709,3,0,1,2,1,36.21489629,2,1,36,7,"Truck",13,0,0,"No","No"
"Rain","Rural Road","Wet","Afternoon",1,30,933,1,1,7,0,3,82.11580359,0,1,48,13,"Sedan",7,0,0,"No","No"
"Rain","Rural Road","Wet","Morning",1,100,888,1,9,8,9,4,82.06833298,0,0,49,24,"Sedan",13,0,0,"Yes","Mild"
"Heavy Rain","Urban Road","Wet","Afternoon",3,70,557,7,5,5,7,2,57.75369087,0,1,21,1,"Truck",2,0,0,"Yes","Mild"
"Heavy Rain","Rural Road","Dry","Evening",2,100,765,3,3,-10,5,1,62.07599092,3,0,46,12,"Sedan",15,0,0,"No","No"
"Clear","Urban Road","Wet","Evening",2,50,795,5,9,10,6,6,80.78577399,3,1,48,14,"Sedan",4,0,0,"No","No"
"Rain","Rural Road","Wet","Morning",2,60,976,4,8,-1,10,6,75.37066266,2,1,51,18,"Truck",15,0,0,"Yes","Strong"
"Rain","Rural Road","Dry","Afternoon",1,90,935,10,9,7,2,0,63.83755779,2,0,48,14,"Truck",14,0,0,"No","No"
"Heavy Rain","Highway","Wet","Night",2,80,890,0,0,-6,4,6,67.64184425,1,1,20,16,"SUV",4,0,0,"No","No"
"Rain","Rural Road","Dry","Afternoon",1,50,151,3,2,4,2,4,58.90970299,2,1,49,1,"SUV",1,0,0,"No","No"
"Clear","Highway","Dry","Night",1,40,123,5,10,-3,5,2,90.69083953,1,1,33,15,"Sedan",0,0,0,"No","No"
"Heavy Rain","Highway","Dry","Morning",3,40,896,1,6,-6,2,4,76.52903409,2,1,51,1,"SUV",4,0,0,"No","No"
"Rain","Rural Road","Wet","Afternoon",3,100,353,6,10,-7,4,4,42.09351213,1,0,18,32,"Sedan",6,0,0,"No","No"
"Clear","Rural Road","Dry","Afternoon",2,120,859,2,11,-4,10,5,99.93261541,3,0,24,11,"Truck",11,1,0,"Yes","Mild"
"Clear","Rural Road","Dry","Night",1,50,357,3,0,-8,2,0,28.24792925,3,1,43,6,"SUV",2,1,3,"No","No"
"Rain","Highway","Wet","Morning",3,50,54,7,0,9,0,1,44.99645819,3,0,18,5,"SUV",9,0,0,"No","No"
"Rain","Rural Road","Wet","Morning",3,120,449,10,7,4,4,0,81.74328666,3,1,56,4,"SUV",10,0,0,"No","No"
"Clear","Rural Road","Dry","Morning",3,80,344,2,1,10,3,0,58.88667151,3,1,42,22,"SUV",15,0,0,"No","No"
"Clear","Urban Road","Wet","Evening",3,80,846,0,1,-2,5,1,72.62988443,0,1,18,32,"SUV",5,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Night",3,110,536,2,10,-5,8,4,47.47053597,3,1,44,16,"SUV",9,0,0,"Yes","Strong"
"Heavy Rain","Highway","Wet","Evening",2,60,821,5,7,4,7,3,56.05419681,0,0,27,31,"SUV",15,0,0,"Yes","Mild"
"Clear","Urban Road","Wet","Afternoon",3,90,217,6,6,-1,8,1,65.08180852,0,0,41,4,"Truck",15,1,7,"Yes","Mild"
"Rain","Urban Road","Wet","Morning",1,100,853,0,11,6,10,2,58.1466051,0,0,26,24,"Truck",3,0,0,"Yes","Mild"
"Heavy Rain","Urban Road","Dry","Afternoon",2,90,963,1,4,0,9,1,37.45062829,2,0,18,18,"Truck",6,0,0,"No","No"
"Rain","Urban Road","Dry","Afternoon",2,100,565,0,2,-2,5,0,75.65676554,0,1,57,17,"Sedan",3,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Morning",3,50,215,5,3,-5,10,3,95.92589804,1,1,37,1,"SUV",6,0,0,"Yes","Mild"
"Clear","Highway","Wet","Evening",1,40,649,3,0,9,2,4,66.8868091,2,1,53,29,"SUV",5,0,0,"No","No"
"Rain","Highway","Dry","Night",1,70,395,3,0,4,5,5,64.17472801,2,1,45,18,"SUV",9,0,0,"No","No"
"Heavy Rain","Highway","Wet","Evening",2,80,797,2,10,2,0,1,61.03392243,3,1,47,1,"SUV",7,0,0,"No","No"
"Heavy Rain","Urban Road","Dry","Morning",3,120,531,4,9,-1,4,2,61.04833001,4,0,42,20,"Truck",5,1,2,"No","No"
"Rain","Urban Road","Wet","Night",1,70,571,8,1,-2,4,3,65.25158298,1,0,55,22,"Truck",2,0,0,"No","No"
"Heavy Rain","Highway","Dry","Evening",1,110,592,1,3,-7,4,0,68.05424512,0,1,36,8,"Sedan",8,1,3,"No","No"
"Rain","Rural Road","Wet","Morning",1,50,505,10,10,-5,5,1,80.87025381,2,1,37,14,"SUV",15,0,0,"No","No"
"Heavy Rain","Highway","Wet","Afternoon",1,90,759,2,3,6,0,4,83.27913261,1,0,51,16,"SUV",9,0,0,"No","No"
"Rain","Urban Road","Wet","Afternoon",3,90,820,8,0,-9,10,0,53.54839154,0,1,65,7,"SUV",4,0,0,"Yes","Mild"
"Clear","Urban Road","Wet","Night",3,100,518,0,2,9,6,3,69.69713004,2,1,19,29,"SUV",5,1,3,"No","No"
"Clear","Urban Road","Wet","Morning",3,80,652,9,4,-3,3,1,87.15242245,1,1,42,26,"Truck",3,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Morning",2,40,589,9,10,10,10,5,42.76663338,3,1,53,22,"Truck",11,1,2,"Yes","Strong"
"Heavy Rain","Highway","Wet","Morning",3,110,951,4,10,7,7,4,52.1688102,3,0,62,4,"Sedan",4,0,0,"Yes","Strong"
"Rain","Urban Road","Wet","Evening",3,70,386,4,9,-1,10,0,72.57226826,4,1,42,11,"Truck",5,0,0,"Yes","Strong"
"Rain","Highway","Dry","Afternoon",3,30,667,10,9,-8,2,5,62.12951395,2,1,32,12,"Sedan",6,0,0,"No","No"
"Rain","Highway","Dry","Night",1,90,418,4,0,10,5,5,61.00707677,1,1,34,1,"Truck",9,1,3,"No","No"
"Rain","Rural Road","Wet","Evening",3,110,320,0,3,4,3,6,97.54913621,0,0,23,12,"SUV",5,0,0,"No","No"
"Rain","Rural Road","Wet","Afternoon",2,90,693,4,1,8,3,6,31.04479315,0,0,32,1,"Sedan",11,0,0,"No","No"
"Clear","Rural Road","Wet","Night",3,60,538,7,1,2,10,1,62.68209537,2,0,42,17,"SUV",11,0,0,"Yes","Mild"
